event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),total_revenue_before_promo,total_revenue_after_promo,Incremental revenue,Incremental Sold Quantity Percent
3beb46,STMYS-2,CAMP_SAN_01,P13,350,BOGOF,81,208,28350,72800,44450,156.7901235
47af00,STVJD-1,CAMP_DIW_01,P03,156,25% OFF,183,150,28548,23400,-5148,-18.03278689
627200,STCBE-4,CAMP_DIW_01,P14,1020,BOGOF,36,111,36720,113220,76500,208.3333333
bc8315,STHYD-1,CAMP_DIW_01,P12,62,50% OFF,122,135,7564,8370,806,10.6557377
1f083a,STVJD-0,CAMP_SAN_01,P06,415,25% OFF,16,14,6640,5810,-830,-12.5
c1e0b6,STCHE-6,CAMP_SAN_01,P01,172,33% OFF,273,379,46956,65188,18232,38.82783883
f60d93,STCBE-0,CAMP_DIW_01,P05,55,25% OFF,78,75,4290,4125,-165,-3.846153846
a10402,STVSK-2,CAMP_SAN_01,P02,860,33% OFF,295,436,253700,374960,121260,47.79661017
741bef,STMYS-0,CAMP_SAN_01,P13,350,BOGOF,114,287,39900,100450,60550,151.754386
105788,STCHE-0,CAMP_SAN_01,P07,300,BOGOF,58,232,17400,69600,52200,300
a85a9a,STHYD-2,CAMP_SAN_01,P10,50,25% OFF,42,31,2100,1550,-550,-26.19047619
4.47E+06,STVJD-0,CAMP_SAN_01,P04,370,BOGOF,253,1017,93610,376290,282680,301.9762846
830e9a,STCHE-1,CAMP_DIW_01,P01,172,33% OFF,325,396,55900,68112,12212,21.84615385
29524a,STBLR-9,CAMP_SAN_01,P10,50,25% OFF,40,36,2000,1800,-200,-10
3ce076,STMLR-1,CAMP_DIW_01,P11,190,50% OFF,38,50,7220,9500,2280,31.57894737
32fa85,STCHE-3,CAMP_DIW_01,P05,55,25% OFF,106,92,5830,5060,-770,-13.20754717
42f304,STCBE-3,CAMP_DIW_01,P06,415,25% OFF,66,57,27390,23655,-3735,-13.63636364
a929ed,STHYD-5,CAMP_DIW_01,P03,156,25% OFF,358,347,55848,54132,-1716,-3.072625698
6dae49,STBLR-1,CAMP_DIW_01,P05,55,25% OFF,117,114,6435,6270,-165,-2.564102564
3b54c7,STHYD-3,CAMP_DIW_01,P04,290,25% OFF,367,297,106430,86130,-20300,-19.07356948
7d6e2a,STMLR-0,CAMP_DIW_01,P03,156,25% OFF,166,146,25896,22776,-3120,-12.04819277
c8ce63,STMDU-0,CAMP_DIW_01,P15,3000,500 Cashback,369,1221,1107000,3663000,2556000,230.8943089
bd1314,STMYS-2,CAMP_SAN_01,P05,55,25% OFF,37,30,2035,1650,-385,-18.91891892
7634c0,STMLR-0,CAMP_SAN_01,P10,50,25% OFF,15,12,750,600,-150,-20
d304f9,STCHE-5,CAMP_DIW_01,P04,290,25% OFF,309,268,89610,77720,-11890,-13.26860841
34ac29,STMDU-0,CAMP_DIW_01,P06,415,25% OFF,73,64,30295,26560,-3735,-12.32876712
57a7bc,STHYD-5,CAMP_SAN_01,P14,1020,BOGOF,100,391,102000,398820,296820,291
70e65e,STCBE-0,CAMP_DIW_01,P15,3000,500 Cashback,320,937,960000,2811000,1851000,192.8125
cf2a34,STHYD-3,CAMP_DIW_01,P06,415,25% OFF,106,81,43990,33615,-10375,-23.58490566
1c1cb7,STHYD-5,CAMP_SAN_01,P10,50,25% OFF,39,35,1950,1750,-200,-10.25641026
8.25E+90,STBLR-3,CAMP_DIW_01,P05,55,25% OFF,112,88,6160,4840,-1320,-21.42857143
ad56bd,STMLR-2,CAMP_DIW_01,P09,110,50% OFF,36,37,3960,4070,110,2.777777778
32efe6,STVSK-3,CAMP_SAN_01,P08,1190,BOGOF,30,81,35700,96390,60690,170
eaa64b,STBLR-3,CAMP_SAN_01,P09,90,25% OFF,58,43,5220,3870,-1350,-25.86206897
9e82db,STMDU-1,CAMP_DIW_01,P05,55,25% OFF,92,79,5060,4345,-715,-14.13043478
d5b8af,STVJD-1,CAMP_SAN_01,P11,190,50% OFF,25,35,4750,6650,1900,40
6d24bc,STMDU-2,CAMP_DIW_01,P03,156,25% OFF,206,179,32136,27924,-4212,-13.10679612
107747,STHYD-1,CAMP_SAN_01,P02,860,33% OFF,488,580,419680,498800,79120,18.85245902
04da18,STVSK-4,CAMP_SAN_01,P03,200,BOGOF,223,604,44600,120800,76200,170.8520179
3a3e96,STBLR-6,CAMP_DIW_01,P07,300,BOGOF,68,263,20400,78900,58500,286.7647059
8f1624,STVJD-0,CAMP_DIW_01,P10,65,50% OFF,57,75,3705,4875,1170,31.57894737
b8269b,STBLR-1,CAMP_DIW_01,P13,350,BOGOF,77,232,26950,81200,54250,201.2987013
c6ca4d,STHYD-2,CAMP_SAN_01,P02,860,33% OFF,465,646,399900,555560,155660,38.92473118
987463,STBLR-0,CAMP_SAN_01,P07,300,BOGOF,45,185,13500,55500,42000,311.1111111
0b51fe,STHYD-3,CAMP_SAN_01,P10,50,25% OFF,39,29,1950,1450,-500,-25.64102564
d1ceaf,STBLR-5,CAMP_SAN_01,P10,50,25% OFF,36,29,1800,1450,-350,-19.44444444
d834f0,STMYS-3,CAMP_SAN_01,P08,1190,BOGOF,34,147,40460,174930,134470,332.3529412
1ed982,STCHE-6,CAMP_DIW_01,P13,350,BOGOF,75,252,26250,88200,61950,236
e9c690,STMDU-3,CAMP_SAN_01,P09,90,25% OFF,45,38,4050,3420,-630,-15.55555556
268ca2,STVJD-0,CAMP_SAN_01,P15,3000,500 Cashback,63,151,189000,453000,264000,139.6825397
a1624e,STHYD-1,CAMP_DIW_01,P02,860,33% OFF,351,449,301860,386140,84280,27.92022792
31b59d,STVSK-3,CAMP_SAN_01,P10,50,25% OFF,27,21,1350,1050,-300,-22.22222222
82454e,STMLR-1,CAMP_DIW_01,P05,55,25% OFF,54,48,2970,2640,-330,-11.11111111
1548f8,STVSK-4,CAMP_SAN_01,P15,3000,500 Cashback,100,175,300000,525000,225000,75
84a2f4,STCHE-7,CAMP_SAN_01,P04,370,BOGOF,423,1801,156510,666370,509860,325.7683215
9e59d5,STVSK-1,CAMP_DIW_01,P05,55,25% OFF,64,49,3520,2695,-825,-23.4375
873333,STMLR-0,CAMP_DIW_01,P15,3000,500 Cashback,196,509,588000,1527000,939000,159.6938776
8b751b,STMLR-0,CAMP_SAN_01,P05,55,25% OFF,15,12,825,660,-165,-20
f856b9,STMLR-2,CAMP_SAN_01,P15,3000,500 Cashback,66,147,198000,441000,243000,122.7272727
dcaa89,STHYD-6,CAMP_SAN_01,P13,350,BOGOF,100,403,35000,141050,106050,303
677e2c,STHYD-1,CAMP_SAN_01,P13,350,BOGOF,122,326,42700,114100,71400,167.2131148
b00eeb,STCHE-0,CAMP_SAN_01,P08,1190,BOGOF,51,196,60690,233240,172550,284.3137255
8ff468,STVJD-0,CAMP_SAN_01,P03,200,BOGOF,193,773,38600,154600,116000,300.5181347
72f6b4,STTRV-0,CAMP_SAN_01,P02,860,33% OFF,241,344,207260,295840,88580,42.73858921
300664,STHYD-5,CAMP_DIW_01,P13,350,BOGOF,80,276,28000,96600,68600,245
7ecbbb,STHYD-1,CAMP_DIW_01,P06,415,25% OFF,103,88,42745,36520,-6225,-14.5631068
2dc515,STMYS-3,CAMP_SAN_01,P01,172,33% OFF,232,294,39904,50568,10664,26.72413793
a4fb0b,STMDU-0,CAMP_SAN_01,P02,860,33% OFF,318,448,273480,385280,111800,40.88050314
f2d198,STTRV-1,CAMP_DIW_01,P03,156,25% OFF,166,157,25896,24492,-1404,-5.421686747
df5c15,STBLR-5,CAMP_DIW_01,P06,415,25% OFF,101,90,41915,37350,-4565,-10.89108911
4e6a19,STHYD-3,CAMP_SAN_01,P07,300,BOGOF,45,121,13500,36300,22800,168.8888889
6436da,STMDU-1,CAMP_SAN_01,P08,1190,BOGOF,30,118,35700,140420,104720,293.3333333
852b4f,STHYD-5,CAMP_SAN_01,P12,62,50% OFF,49,70,3038,4340,1302,42.85714286
26322a,STMLR-0,CAMP_DIW_01,P10,65,50% OFF,52,71,3380,4615,1235,36.53846154
57576d,STBLR-5,CAMP_SAN_01,P08,1190,BOGOF,49,194,58310,230860,172550,295.9183673
af646e,STHYD-4,CAMP_SAN_01,P11,190,50% OFF,54,78,10260,14820,4560,44.44444444
ccbc3a,STTRV-0,CAMP_DIW_01,P06,415,25% OFF,52,49,21580,20335,-1245,-5.769230769
572031,STBLR-6,CAMP_SAN_01,P03,200,BOGOF,423,1734,84600,346800,262200,309.929078
5a21a5,STBLR-4,CAMP_SAN_01,P10,50,25% OFF,31,26,1550,1300,-250,-16.12903226
c6bf42,STCBE-3,CAMP_DIW_01,P07,300,BOGOF,52,173,15600,51900,36300,232.6923077
f5ff07,STCHE-6,CAMP_DIW_01,P11,190,50% OFF,80,100,15200,19000,3800,25
2c8137,STVSK-3,CAMP_SAN_01,P07,300,BOGOF,31,77,9300,23100,13800,148.3870968
4e3a3d,STVJD-0,CAMP_DIW_01,P02,860,33% OFF,197,285,169420,245100,75680,44.67005076
582098,STMYS-1,CAMP_SAN_01,P14,1020,BOGOF,109,453,111180,462060,350880,315.5963303
9387d1,STHYD-6,CAMP_DIW_01,P02,860,33% OFF,329,470,282940,404200,121260,42.85714286
6c9451,STVSK-0,CAMP_DIW_01,P03,156,25% OFF,259,225,40404,35100,-5304,-13.12741313
9c74f7,STBLR-9,CAMP_DIW_01,P09,110,50% OFF,71,90,7810,9900,2090,26.76056338
c3bbcc,STBLR-2,CAMP_SAN_01,P07,300,BOGOF,31,122,9300,36600,27300,293.5483871
00a25a,STCHE-3,CAMP_SAN_01,P12,62,50% OFF,64,89,3968,5518,1550,39.0625
7b0f7d,STVJD-1,CAMP_DIW_01,P01,172,33% OFF,180,255,30960,43860,12900,41.66666667
b484bd,STTRV-1,CAMP_DIW_01,P06,415,25% OFF,36,34,14940,14110,-830,-5.555555556
3aaafb,STMDU-2,CAMP_DIW_01,P06,415,25% OFF,50,43,20750,17845,-2905,-14
20d916,STCBE-1,CAMP_DIW_01,P07,300,BOGOF,57,188,17100,56400,39300,229.8245614
eccfbe,STCHE-1,CAMP_DIW_01,P02,860,33% OFF,364,451,313040,387860,74820,23.9010989
71a7a0,STCHE-6,CAMP_DIW_01,P14,1020,BOGOF,59,195,60180,198900,138720,230.5084746
fd2628,STBLR-8,CAMP_DIW_01,P15,3000,500 Cashback,437,1306,1311000,3918000,2607000,198.8558352
7b187a,STVSK-1,CAMP_SAN_01,P14,1020,BOGOF,82,322,83640,328440,244800,292.6829268
345b49,STMDU-2,CAMP_SAN_01,P14,1020,BOGOF,76,300,77520,306000,228480,294.7368421
1c4a78,STMLR-2,CAMP_SAN_01,P12,62,50% OFF,27,31,1674,1922,248,14.81481481
70c312,STHYD-4,CAMP_SAN_01,P13,350,BOGOF,135,534,47250,186900,139650,295.5555556
1ee94b,STHYD-0,CAMP_DIW_01,P13,350,BOGOF,68,235,23800,82250,58450,245.5882353
c381ea,STMLR-1,CAMP_SAN_01,P08,1190,BOGOF,27,106,32130,126140,94010,292.5925926
8724c8,STCBE-4,CAMP_SAN_01,P04,370,BOGOF,363,990,134310,366300,231990,172.7272727
8f3699,STVSK-3,CAMP_DIW_01,P03,156,25% OFF,196,174,30576,27144,-3432,-11.2244898
bfb2b4,STBLR-7,CAMP_SAN_01,P13,350,BOGOF,133,559,46550,195650,149100,320.3007519
19e2f0,STCHE-7,CAMP_SAN_01,P11,190,50% OFF,58,81,11020,15390,4370,39.65517241
a0d919,STMDU-1,CAMP_DIW_01,P08,1190,BOGOF,35,122,41650,145180,103530,248.5714286
98c85b,STMLR-2,CAMP_DIW_01,P13,350,BOGOF,38,133,13300,46550,33250,250
d60641,STHYD-0,CAMP_DIW_01,P03,156,25% OFF,351,305,54756,47580,-7176,-13.10541311
a340fc,STBLR-4,CAMP_DIW_01,P05,55,25% OFF,136,121,7480,6655,-825,-11.02941176
4dca21,STVSK-1,CAMP_SAN_01,P04,370,BOGOF,252,985,93240,364450,271210,290.8730159
ff18f2,STVSK-3,CAMP_DIW_01,P15,3000,500 Cashback,260,681,780000,2043000,1263000,161.9230769
b79fd9,STVJD-1,CAMP_DIW_01,P04,290,25% OFF,150,123,43500,35670,-7830,-18
c23e33,STHYD-6,CAMP_SAN_01,P11,190,50% OFF,49,69,9310,13110,3800,40.81632653
cf734f,STHYD-4,CAMP_SAN_01,P08,1190,BOGOF,51,203,60690,241570,180880,298.0392157
0951b6,STMYS-1,CAMP_DIW_01,P09,110,50% OFF,103,159,11330,17490,6160,54.36893204
413f48,STVSK-0,CAMP_SAN_01,P14,1020,BOGOF,61,234,62220,238680,176460,283.6065574
de1ced,STCHE-3,CAMP_DIW_01,P03,156,25% OFF,330,290,51480,45240,-6240,-12.12121212
291ddf,STCBE-1,CAMP_SAN_01,P03,200,BOGOF,267,1054,53400,210800,157400,294.7565543
aa1bbd,STCBE-0,CAMP_SAN_01,P10,50,25% OFF,25,22,1250,1100,-150,-12
53a947,STBLR-1,CAMP_SAN_01,P06,415,25% OFF,39,36,16185,14940,-1245,-7.692307692
b8f698,STMDU-3,CAMP_DIW_01,P10,65,50% OFF,68,76,4420,4940,520,11.76470588
13ad42,STMDU-0,CAMP_DIW_01,P03,156,25% OFF,241,209,37596,32604,-4992,-13.2780083
93e61f,STBLR-4,CAMP_DIW_01,P10,65,50% OFF,92,120,5980,7800,1820,30.43478261
3070a3,STVSK-3,CAMP_DIW_01,P10,65,50% OFF,68,76,4420,4940,520,11.76470588
cf0a2a,STHYD-3,CAMP_DIW_01,P09,110,50% OFF,92,147,10120,16170,6050,59.7826087
ae5745,STCBE-4,CAMP_DIW_01,P06,415,25% OFF,68,61,28220,25315,-2905,-10.29411765
695cd9,STTRV-1,CAMP_SAN_01,P07,300,BOGOF,21,82,6300,24600,18300,290.4761905
b76614,STMLR-0,CAMP_SAN_01,P12,62,50% OFF,33,47,2046,2914,868,42.42424242
d42636,STBLR-6,CAMP_SAN_01,P05,55,25% OFF,25,20,1375,1100,-275,-20
d9d3f4,STMYS-1,CAMP_DIW_01,P10,65,50% OFF,103,158,6695,10270,3575,53.39805825
8cbaa3,STHYD-2,CAMP_SAN_01,P08,1190,BOGOF,60,238,71400,283220,211820,296.6666667
aaea9e,STTRV-0,CAMP_DIW_01,P10,65,50% OFF,68,93,4420,6045,1625,36.76470588
34a266,STMLR-0,CAMP_DIW_01,P08,1190,BOGOF,24,70,28560,83300,54740,191.6666667
b017e0,STMDU-3,CAMP_DIW_01,P02,860,33% OFF,276,345,237360,296700,59340,25
7014a8,STBLR-8,CAMP_SAN_01,P14,1020,BOGOF,97,385,98940,392700,293760,296.9072165
9e2de4,STMLR-0,CAMP_SAN_01,P07,300,BOGOF,21,54,6300,16200,9900,157.1428571
ec29f9,STTRV-1,CAMP_SAN_01,P06,415,25% OFF,21,19,8715,7885,-830,-9.523809524
5c50b6,STHYD-6,CAMP_SAN_01,P09,90,25% OFF,55,45,4950,4050,-900,-18.18181818
e2a523,STHYD-5,CAMP_DIW_01,P07,300,BOGOF,59,195,17700,58500,40800,230.5084746
166a02,STCHE-6,CAMP_SAN_01,P13,350,BOGOF,111,445,38850,155750,116900,300.9009009
61b929,STVSK-2,CAMP_DIW_01,P14,1020,BOGOF,33,109,33660,111180,77520,230.3030303
908a96,STHYD-4,CAMP_SAN_01,P12,62,50% OFF,52,72,3224,4464,1240,38.46153846
d0f417,STCBE-4,CAMP_DIW_01,P12,62,50% OFF,89,112,5518,6944,1426,25.84269663
c4b10c,STCHE-5,CAMP_DIW_01,P06,415,25% OFF,87,77,36105,31955,-4150,-11.49425287
e39703,STBLR-9,CAMP_DIW_01,P08,1190,BOGOF,47,163,55930,193970,138040,246.8085106
1.11E+11,STMYS-3,CAMP_SAN_01,P11,190,50% OFF,43,48,8170,9120,950,11.62790698
029ff8,STMLR-0,CAMP_SAN_01,P01,172,33% OFF,169,236,29068,40592,11524,39.64497041
daff65,STMLR-0,CAMP_DIW_01,P11,190,50% OFF,35,45,6650,8550,1900,28.57142857
108a63,STHYD-3,CAMP_SAN_01,P05,55,25% OFF,30,22,1650,1210,-440,-26.66666667
e7d681,STCHE-5,CAMP_DIW_01,P13,350,BOGOF,66,226,23100,79100,56000,242.4242424
02fa4b,STVSK-4,CAMP_DIW_01,P01,172,33% OFF,155,218,26660,37496,10836,40.64516129
2b0a40,STHYD-2,CAMP_DIW_01,P13,350,BOGOF,82,273,28700,95550,66850,232.9268293
406a98,STBLR-5,CAMP_SAN_01,P01,172,33% OFF,264,361,45408,62092,16684,36.74242424
ad1849,STCHE-1,CAMP_DIW_01,P05,55,25% OFF,119,107,6545,5885,-660,-10.08403361
cfa879,STCHE-4,CAMP_SAN_01,P13,350,BOGOF,114,502,39900,175700,135800,340.3508772
d2b963,STVJD-0,CAMP_SAN_01,P14,1020,BOGOF,48,187,48960,190740,141780,289.5833333
2e3393,STCHE-3,CAMP_SAN_01,P14,1020,BOGOF,112,460,114240,469200,354960,310.7142857
68718c,STCHE-0,CAMP_DIW_01,P04,290,25% OFF,309,265,89610,76850,-12760,-14.2394822
591730,STBLR-2,CAMP_SAN_01,P09,90,25% OFF,64,53,5760,4770,-990,-17.1875
7d1872,STMYS-2,CAMP_DIW_01,P02,860,33% OFF,283,430,243380,369800,126420,51.9434629
4b3df6,STTRV-1,CAMP_SAN_01,P14,1020,BOGOF,61,234,62220,238680,176460,283.6065574
55b461,STMDU-0,CAMP_SAN_01,P06,415,25% OFF,21,17,8715,7055,-1660,-19.04761905
6b26bc,STHYD-2,CAMP_SAN_01,P05,55,25% OFF,24,18,1320,990,-330,-25
dbd453,STMLR-1,CAMP_SAN_01,P03,200,BOGOF,195,776,39000,155200,116200,297.9487179
1fcb3a,STVSK-4,CAMP_DIW_01,P05,55,25% OFF,89,72,4895,3960,-935,-19.1011236
0a45d8,STTRV-0,CAMP_DIW_01,P02,860,33% OFF,196,303,168560,260580,92020,54.59183673
e4235a,STVJD-0,CAMP_SAN_01,P09,90,25% OFF,33,30,2970,2700,-270,-9.090909091
ca1e8f,STHYD-1,CAMP_DIW_01,P08,1190,BOGOF,54,167,64260,198730,134470,209.2592593
aa76f1,STHYD-0,CAMP_SAN_01,P11,190,50% OFF,42,65,7980,12350,4370,54.76190476
e8aca2,STCBE-4,CAMP_DIW_01,P08,1190,BOGOF,40,119,47600,141610,94010,197.5
c8670a,STCHE-0,CAMP_DIW_01,P15,3000,500 Cashback,343,1056,1029000,3168000,2139000,207.8717201
c99d18,STCHE-7,CAMP_DIW_01,P08,1190,BOGOF,54,218,64260,259420,195160,303.7037037
bcbc28,STVSK-1,CAMP_DIW_01,P02,860,33% OFF,253,389,217580,334540,116960,53.75494071
d7e3d8,STVJD-1,CAMP_DIW_01,P13,350,BOGOF,36,124,12600,43400,30800,244.4444444
5991de,STMDU-0,CAMP_DIW_01,P09,110,50% OFF,43,58,4730,6380,1650,34.88372093
4ad894,STMLR-1,CAMP_DIW_01,P03,156,25% OFF,192,165,29952,25740,-4212,-14.0625
72f1c0,STVSK-4,CAMP_DIW_01,P11,190,50% OFF,57,72,10830,13680,2850,26.31578947
465ef1,STCHE-4,CAMP_DIW_01,P04,290,25% OFF,304,273,88160,79170,-8990,-10.19736842
db76f3,STBLR-0,CAMP_DIW_01,P01,172,33% OFF,294,438,50568,75336,24768,48.97959184
8f4f8c,STVJD-1,CAMP_DIW_01,P02,860,33% OFF,210,321,180600,276060,95460,52.85714286
dd2475,STBLR-4,CAMP_DIW_01,P04,290,25% OFF,325,289,94250,83810,-10440,-11.07692308
a0a2ec,STBLR-8,CAMP_SAN_01,P01,172,33% OFF,346,491,59512,84452,24940,41.90751445
0f1be6,STCBE-2,CAMP_DIW_01,P12,62,50% OFF,89,129,5518,7998,2480,44.94382022
5b357f,STMDU-1,CAMP_DIW_01,P15,3000,500 Cashback,322,985,966000,2955000,1989000,205.9006211
380012,STMDU-3,CAMP_DIW_01,P06,415,25% OFF,56,50,23240,20750,-2490,-10.71428571
3906da,STMLR-2,CAMP_SAN_01,P09,90,25% OFF,33,27,2970,2430,-540,-18.18181818
c917a3,STCHE-3,CAMP_DIW_01,P04,290,25% OFF,350,311,101500,90190,-11310,-11.14285714
3a8b79,STMDU-0,CAMP_DIW_01,P07,300,BOGOF,49,199,14700,59700,45000,306.122449
c48008,STBLR-2,CAMP_DIW_01,P14,1020,BOGOF,47,162,47940,165240,117300,244.6808511
88a405,STMLR-2,CAMP_DIW_01,P12,62,50% OFF,63,71,3906,4402,496,12.6984127
1ba928,STMDU-1,CAMP_DIW_01,P04,290,25% OFF,255,219,73950,63510,-10440,-14.11764706
7d5e81,STCHE-5,CAMP_SAN_01,P07,300,BOGOF,43,167,12900,50100,37200,288.372093
43feca,STMDU-3,CAMP_DIW_01,P13,350,BOGOF,56,184,19600,64400,44800,228.5714286
9779b0,STVSK-2,CAMP_DIW_01,P10,65,50% OFF,85,128,5525,8320,2795,50.58823529
bd2635,STHYD-5,CAMP_DIW_01,P04,290,25% OFF,327,310,94830,89900,-4930,-5.198776758
4f255c,STHYD-1,CAMP_SAN_01,P08,1190,BOGOF,52,134,61880,159460,97580,157.6923077
386fdc,STVSK-1,CAMP_DIW_01,P01,172,33% OFF,257,364,44204,62608,18404,41.63424125
3df185,STCBE-2,CAMP_DIW_01,P11,190,50% OFF,40,62,7600,11780,4180,55
a37f93,STVSK-3,CAMP_DIW_01,P14,1020,BOGOF,38,117,38760,119340,80580,207.8947368
939435,STMLR-2,CAMP_SAN_01,P07,300,BOGOF,24,96,7200,28800,21600,300
38b760,STMDU-0,CAMP_DIW_01,P14,1020,BOGOF,33,126,33660,128520,94860,281.8181818
660f7c,STMYS-1,CAMP_SAN_01,P07,300,BOGOF,43,186,12900,55800,42900,332.5581395
5c8b9f,STMDU-1,CAMP_DIW_01,P01,172,33% OFF,187,289,32164,49708,17544,54.54545455
9.57E+11,STHYD-1,CAMP_SAN_01,P15,3000,500 Cashback,103,177,309000,531000,222000,71.84466019
ddddb3,STBLR-2,CAMP_DIW_01,P09,110,50% OFF,103,136,11330,14960,3630,32.03883495
90b2fb,STCHE-6,CAMP_DIW_01,P07,300,BOGOF,59,201,17700,60300,42600,240.6779661
cf9994,STCHE-5,CAMP_SAN_01,P10,50,25% OFF,37,31,1850,1550,-300,-16.21621622
fb4f00,STCHE-0,CAMP_DIW_01,P11,190,50% OFF,80,102,15200,19380,4180,27.5
b41e58,STCBE-4,CAMP_DIW_01,P02,860,33% OFF,255,377,219300,324220,104920,47.84313725
567271,STMDU-0,CAMP_DIW_01,P10,65,50% OFF,78,102,5070,6630,1560,30.76923077
902a62,STHYD-2,CAMP_DIW_01,P06,415,25% OFF,96,77,39840,31955,-7885,-19.79166667
da5d21,STBLR-9,CAMP_DIW_01,P10,65,50% OFF,92,125,5980,8125,2145,35.86956522
8f2264,STBLR-7,CAMP_DIW_01,P12,62,50% OFF,124,184,7688,11408,3720,48.38709677
